ConvertedComp,EdLevel,YearsCodePro,DevType,LanguageDesireNextYear,JobSat,Year
8820.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1.0,"Designer;Developer, back-end;Developer, front-end;Developer, full-stack",Elixir;HTML/CSS,Slightly satisfied,2019
61000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)",0.5,"Developer, full-stack",C;C#;JavaScript;SQL,Slightly satisfied,2019
95179.0,Some college/university study without earning a degree,4.0,"Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, QA or test;DevOps specialist",Bash/Shell/PowerShell;C;HTML/CSS;JavaScript;Ruby;Rust;SQL;TypeScript;WebAssembly;Other(s):,Slightly satisfied,2019
13293.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10.0,"Data or business analyst;Data scientist or machine learning specialist;Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, game or graphics;Educator",C#;Go;JavaScript;Kotlin;Python;R;SQL,Slightly dissatisfied,2019
90000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",8.0,"Data or business analyst;Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile;DevOps specialist;Engineer, data;Engineer, site reliability;Engineering manager;Senior executive/VP;System administrator",Bash/Shell/PowerShell;HTML/CSS;JavaScript;Rust;SQL;TypeScript;WebAssembly,Very satisfied,2019
57060.0,"Other doctoral degree (Ph.D, Ed.D., etc.)",2.0,"Developer, desktop or enterprise applications",C++,Very satisfied,2019
65277.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0,"Developer, back-end;Developer, front-end;Developer, full-stack;Student",Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;TypeScript;WebAssembly,Neither satisfied nor dissatisfied,2019
21996.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",3.0,Data or business analyst,Python;R,Very satisfied,2019
31140.0,Some college/university study without earning a degree,13.0,"Developer, full-stack",HTML/CSS;JavaScript,Very satisfied,2019
41244.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",4.0,"Database administrator;Designer;Developer, back-end;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, mobile;System administrator",Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;Python;R;SQL,Slightly dissatisfied,2019
103000.0,Some college/university study without earning a degree,18.0,"Data or business analyst;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;DevOps specialist;System administrator",Bash/Shell/PowerShell;C++;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,Very dissatisfied,2019
69000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1.0,"Developer, full-stack",Bash/Shell/PowerShell;Go;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;Python;Ruby;SQL;Swift;TypeScript,Slightly satisfied,2019
26388.0,Primary/elementary school,1.0,"Developer, front-end",Go,Very satisfied,2019
6300.0,Associate degree,1.0,"Designer;Developer, back-end;Developer, front-end;Developer, full-stack",HTML/CSS;JavaScript;PHP;SQL;TypeScript,Very satisfied,2019
